Geração,Tipo,ID,Nome,Grupo,Aniversário,Vocal,Dance,Rap,Center,Visual,Especialidade,Conceitos predominantes,Gêneros predominantes,Pontos Fortes,Pontos Fracos
4,idol,3yehaeun,Haeun,3YE,25-11-1998,C,B,A,B,C,Rap,Girl Crush / Powerful Dance,,"""Energia cênica boa, sólida como apoio de dança e rap""","""Limitações vocais e menor domínio técnico"""
4,idol,3yeyuji,Yuji,3YE,13-04-1998,B,A,B,B,C,Dance,Girl Crush / Powerful Dance,,"""Excelente dançarina e vocalista estável, líder de performance com carisma de palco notável""","""Falta suavidade em conceitos mais leves"""
4,idol,3yeyurim,Yurim,3YE,12-03-1999,C,B,B,C,C,Dance,Girl Crush / Powerful Dance,,"""Consistente em vocais e expressividade, timbre forte e limpo""","""Falta leveza nas harmonizações, movimentos às vezes rígidos"""
4,idol,aespagiselle,Giselle,aespa,30-10-2000,C,B,A,C,B,Rap,Hip-hop / Urban,,"""Flow estável, versatilidade em rap e feature vocals""","""Projeção vocal limitada, dança menos técnica que as demais"""
4,idol,aespakarina,Karina,aespa,11-04-2000,B,S,B,A,S,Dance,Futurista / Girlcrush,,"""Presença cênica, precisão e impacto em performances poderosas""","""Dificuldade em adaptar-se a conceitos leves ou cute"""
4,idol,aespaningning,NingNing,aespa,23-10-2002,S,B,D,C,B,Vocal,R&B / Pop Soul,,"""Alcance vocal excepcional, timbre único, técnica avançada""","""Presença de palco por vezes discreta, menos foco em dance"""
4,idol,aespawinter,Winter,aespa,01-01-2001,S,B,D,A,A,Vocal,Pop / Vocal Focus,,"""Estabilidade vocal de elite, dicção clara, consistência ao vivo""","""Coreografias muito pesadas podem reduzir projeção vocal"""
5,idol,alldayprojectannie,Annie,ALLDAY PROJECT,23-01-2002,D,C,C,D,C,Rap,Co-ed Pop / Hip-hop Hybrid,,"""Timbre limpo e expressivo, postura de palco confiante, carisma em conceitos suaves e sensuais""","""Falta impacto em rap sections e projeção em notas altas"""
5,idol,alldayprojectbailey,Bailey,ALLDAY PROJECT,24-02-2004,D,A,B,B,C,Dance,Co-ed Pop / Hip-hop Hybrid,,"""Excelente controle vocal e corporal, equilíbrio técnico geral""","""Falta destaque marcante em uma posição específica"""
5,idol,alldayprojectyoungseo,Youngseo,ALLDAY PROJECT,13-11-2005,A,B,D,A,B,All-Rounder,Co-ed Pop / Hip-hop Hybrid,,"""Visual mais destacado, presença elegante e carisma natural""","""Técnica vocal irregular ao vivo, pouca versatilidade estilística"""
5,idol,artmschoerry,Choerry,ARTMS,04-06-2001,B,A,D,A,A,Dancer,Pop / Bright Concept,,"""Energia cênica contagiante, versatilidade e presença natural""","""Técnica vocal limitada em notas graves"""
5,idol,artmshaseul,Haseul,ARTMS,18-08-1997,A,B,C,B,A,Vocal,Ballad / Emotional,,"""Controle vocal limpo, excelente suporte respiratório""","""Expressividade corporal e dança mais contida"""
