Type,ID,Nome,Fonte,Conceito Original
music,boysplanetsaymyname,Say My Name,Boys Planet,Bright Pop / Youth
music,boysplanetjellypop,Jelly Pop,Boys Planet,Funky Pop / Refreshing
music,boysplanetoverme,Over Me,Boys Planet,R&B / Sensual
music,boysplanetengarde,En Garde,Boys Planet,Powerful / EDM Performance
music,boysplanethereiam,Here I Am,Boys Planet,Signal Song / Bright Unity
music,boysplanetswitch,Switch,Boys Planet,Hip-hop / Groove
music,boysplanetsupercharger,SuperCharger,Boys Planet,High Energy EDM
music,girlsplanet999umelove,U+ME=LOVE,Girls Planet 999,Bright Pop / Love Concept
music,girlsplanet999utopia,Utopia,Girls Planet 999,Dreamy / Vocal Focus
music,girlsplanet999snake,Snake,Girls Planet 999,Girl Crush / EDM
music,girlsplanet999shoot,Shoot!,Girls Planet 999,Teen Crush / Funk Pop
music,girlsplanet999ooo,O.O.O,Girls Planet 999,Signal Song / Bright Unity
music,iland2naiwaly,IWALY,I-Land 2 N/a,Emotional EDM / Performance
music,iland2nafinallovesong,Final Love Song,I-Land 2 N/a,Anthem / Dramatic Pop
music,ilandflicker,Flicker,I-LAND,Dark Pop / Performance
music,myteenagegirlsamesamedifferent,Same Same Different,My Teenage Girl,Teen Pop / Identity Concept
music,produce101japanthegirlsleaphigh,Leap High!,Produce 101 Japan The Girls,Signal Song / Bright Pop
music,produce101japanthegirlsme,&ME,Produce 101 Japan The Girls,Cute Pop / Fan Song
music,produce101season2never,Never,Produce 101 Season 2,Emotional EDM / Boy Group Performance
music,produce101inthesameplace,In The Same Place,Produce 101,Bright Pop / Cute Concept
music,produce48rumor,Rumor,Produce 48,Moombahton / Sexy Concept
music,producex101tomyworld,To My World,Produce X 101,Emotional Pop / Finale
music,queendompuzzlecharismatic,Charismatic,Queendom Puzzle,Girl Crush / Performance
music,queendompuzzlesnap,Snap,Queendom Puzzle,Dark Pop / Intense Performance
music,queendompuzzlebadblood,Bad Blood,Queendom Puzzle,Powerful Pop / Rivalry Concept
music,runextdesperate,Desperate,R U Next?,Dark Pop / Emotional
music,universeticketrushhour,Rush Hour,Universe Ticket,Hip-hop / Performance
