Geração,Type,ID,Nome,Grupo,Vocal,Dance,Rap,Center,Visual,Especialidade,Conceito predominante,Pontos Fortes,Pontos Fracos
4,Idol,3yeyurim,Yurim,3YE,C,B,B,C,C,,Girl Crush / Powerful Dance,Consistente em vocais e expressividade / timbre forte e limpo,Falta leveza nas harmonizações / movimentos às vezes rígidos
4,Idol,3yeyuji,Yuji,3YE,B,A,B,B,C,,Girl Crush / Powerful Dance,Excelente dançarina e vocalista estável / líder de performance com carisma de palco notável,Falta suavidade em conceitos mais leves
4,Idol,3yehaeun,Haeun,3YE,C,B,A,B,C,,Girl Crush / Powerful Dance,Energia cênica boa / sólida como apoio de dança e rap,Limitações vocais e menor domínio técnico
4,Idol,aespawinter,Winter,aespa,S,B,D,A,A,,Pop / Vocal Focus,Estabilidade vocal de elite / dicção clara / consistência ao vivo,Coreografias muito pesadas podem reduzir projeção vocal
4,Idol,aespaningning,NingNing,aespa,S,B,D,C,B,,R&B / Pop Soul,Alcance vocal excepcional / timbre único / técnica avançada,Presença de palco por vezes discreta / menos foco em dance
4,Idol,aespakarina,Karina,aespa,B,S,B,A,S,,Futurista / Girlcrush,Presença cênica / precisão e impacto em performances poderosas,Dificuldade em adaptar-se a conceitos leves ou “cute”
4,Idol,aespagiselle,Giselle,aespa,C,B,A,C,B,,Hip-hop / Urban,Flow estável / versatilidade em rap e feature vocals,Projeção vocal limitada / dança menos técnica que as demais
5,Idol,alldayprojectyoungseo,Youngseo,ALLDAY PROJECT,A,B,D,A,B,,Co-ed Pop / Hip-hop Hybrid,Visual mais destacado / presença elegante e carisma natural,Técnica vocal irregular ao vivo / pouca versatilidade estilística
5,Idol,alldayprojectbailey,Bailey,ALLDAY PROJECT,D,A,B,B,C,,Co-ed Pop / Hip-hop Hybrid,Excelente controle vocal e corporal / equilíbrio técnico geral,Falta destaque marcante em uma posição específica
5,Idol,alldayprojectannie,Annie,ALLDAY PROJECT,D,C,C,D,C,,Co-ed Pop / Hip-hop Hybrid,Timbre limpo e expressivo / postura de palco confiante / carisma em conceitos suaves e sensuais,Falta impacto em rap sections e projeção em notas altas
5,Idol,artmskimlip,Kim Lip,ARTMS,A,S,D,A,A,,R&B / Elegant Pop,Timbre expressivo / técnica vocal refinada / harmonia e emoção,Projeção vocal variável ao vivo em performances muito coreografadas
5,Idol,artmsjinsoul,Jinsoul,ARTMS,B,B,B,B,A,,Urban Pop / EDM,Rapper melódica com ótimo controle vocal / timbre distinto,Execução menos fluida em coreografias muito técnicas
5,Idol,artmsheejin,HeeJin,ARTMS,A,S,C,S,A,,Girlcrush / Pop,All-rounder completa / força cênica / carisma e precisão coreográfica,Pode sobrecarregar-se em lineups longas por intensidade constante
5,Idol,artmshaseul,Haseul,ARTMS,A,B,C,B,A,,Ballad / Emotional,Controle vocal limpo / excelente suporte respiratório,Expressividade corporal e dança mais contida
5,Idol,artmschoerry,Choerry,ARTMS,B,A,D,A,A,,Pop / Bright Concept,Energia cênica contagiante / versatilidade e presença natural,Técnica vocal limitada em notas graves
5,Idol,atheartseohyeon,Seohyeon,AtHeart,A,B,D,B,B,,Bright Pop / Performance,Excelente sincronização de grupo / bom suporte em harmonias e estabilidade em lives,Ainda em crescimento para solo vocal de destaque / presença solo moderada
5,Idol,atheartnahyun,Nahyun,AtHeart,B,B,D,A,A,,Supporting Vocals / Dance,Boa química em formações de grupo / consistente em linhas de apoio e adlibs,Não se destaca tecnicamente em vocal principal ou rap / presença visual média
5,Idol,atheartmichi,Michi,AtHeart,B,B,D,B,C,,Girlcrush / Powerful Pop,Execução de performance muito polida / controle corporal e presença de palco (destaque nas stages),Em trechos vocais complexos pode perder estabilidade pela intensidade da dança
5,Idol,atheartkatelyn,Katelyn,AtHeart,B,B,C,B,C,,Pop / Visual Focus,Forte projeção vocal ao vivo / timbre marcante / rosto/visual com apelo alto (possível titular visual),Menos foco em rap / movimentos muito técnicos podem reduzir consistência vocal
5,Idol,atheartbome,Bome,AtHeart,A,B,D,B,B,,R&B-tinged Pop,Boa estabilidade vocal e controle em runs / interpretação musical sensível,Coreografias mais pesadas afetam ligeiramente a projeção
5,Idol,atheartaurora,Aurora,AtHeart,B,C,D,C,C,,Ethereal Pop / Visual,Visual diferenciado e expressividade gestual / encaixa bem em passes atmosféricos,Projeção vocal e rap moderados / menos consistente em partes técnicas
5,Idol,atheartarin,Arin,AtHeart,B,A,D,B,B,,Urban Pop / Rap-forward,Flow e entrega rap consistente / presença carismática / boa versatilidade rítmica,Técnica vocal menos expressiva em notas longas / timbre médio
5,Idol,babydontcryyihyun,Yihyun,Baby DONT Cry,A,B,D,A,A,,Dark Pop / Girlcrush,Controle vocal excepcional / presença de palco dominante / carisma central,Algumas notas agudas exigem apoio corporal / respiração visível em trechos rápidos
5,Idol,babydontcrymia,Mia,Baby DONT Cry,C,C,D,B,A,,Hip-Hop / Rap-forward,Flow limpo / dicção e entrega rítmica excelentes / boa presença cênica,Falta potência vocal em trechos altos / expressividade facial ainda limitada
5,Idol,babydontcrykumi,Kumi,Baby DONT Cry,C,B,B,B,B,,Powerful Pop / Dance Focus,Coreógrafa precisa / musicalidade e fluidez / ótima sincronização,Vocais mais suaves podem perder projeção / rap neutro
5,Idol,babydontcrybeni,Beni,Baby DONT Cry,B,B,D,B,A,,Visual Pop / Ballad,Visual impactante e carismática / boa interpretação facial / presença em frames,Técnica vocal limitada em trechos dinâmicos / rap pouco desenvolvido
5,Idol,babymonsterruka,Ruka,BABYMONSTER,B,B,S,B,B,,Hip-hop / Rap-Dance Focus,Execução de dança de elite / presença forte no palco,Técnica vocal média em alta intensidade
5,Idol,babymonsterrora,Rora,BABYMONSTER,A,B,D,B,A,,Lead Vocal / Youth Pop,Boa presença corporal / dança sólida,Vocal principal falta refinamento
5,Idol,babymonsterrami,Rami,BABYMONSTER,S,B,B,B,A,,Vocal / Pop,Vocal estável / cresce no palco,Rap e dança com menor destaque
5,Idol,babymonsterpharita,Pharita,BABYMONSTER,A,C,D,C,B,,Lead Vocal / International Pop,Vocal principal muito forte / domínio de inglês/tailandês,Rap e coreografia menos marcantes
5,Idol,babymonsterchiquita,Chiquita,BABYMONSTER,B,B,A,B,C,,Supporting Vocals / Performance,Boa expressividade e carisma,Técnica vocal/rap iniciante / presença menor
5,Idol,babymonsterasa,Asa,BABYMONSTER,B,B,S,B,S,,Rap / Performance Hip-hop,Flow limpo / rap de destaque / boa entrega,Vocal principal menos refinado
5,Idol,babymonsterahyeon,Ahyeon,BABYMONSTER,S,B,S,A,A,,Main Vocal / Multi-talent,Visual forte / vocal bom / versatilidade,Dança e rap menos consistentes
4,Idol,billlietsuki,Tsuki,Billlie,B,S,D,A,A,,Dance Focus / International,Elevado nível de dança / fluidez no palco,Vocais principais mais fracos
4,Idol,billliesuhyeon,Suhyeon,Billlie,A,B,C,B,A,,Pop / Bright Performance,Coreografia bem executada / bons vocais de suporte,Falta consistência em rap mais pesado
4,Idol,billliesiyoon,Siyoon,Billlie,C,B,B,B,B,,Performance / Rap & Dance,Flow rítmico e presença de palco,Vocais e visual menos dominantes
4,Idol,billliesheon,Sheon,Billlie,B,A,B,B,A,,Rap / All-rounder,Rap sólido / entrega lírica forte,Técnica vocal em altos registros menos robusta
4,Idol,billliemoonsua,Moon Sua,Billlie,B,A,A,B,B,,Girlcrush / Rap-Vocal Hybrid,Técnica vocal de alto nível / presença de palco forte,Dança mais técnica poderia ganhar mais refinamento
